Genotype,Environment,Yield
Genotype81,Env3,2778.372444
Genotype82,Env3,2289.707648
Genotype83,Env3,2129.981582
Genotype84,Env3,3551.824444
Genotype85,Env3,2243.99677
Genotype86,Env3,2670.276837
Genotype87,Env3,2463.169597
Genotype88,Env3,2241.476586
Genotype89,Env3,3449.900907
Genotype90,Env3,4105.048975
Genotype91,Env3,2231.003757
Genotype92,Env3,2926.898236
Genotype93,Env3,3194.36419
Genotype94,Env3,1642.930136
Genotype95,Env3,3047.435214
Genotype96,Env3,2891.976143
Genotype97,Env3,2164.418382
Genotype98,Env3,2440.017699
Genotype99,Env3,2019.387286
Genotype100,Env3,1175.896287
Genotype101,Env3,3439.466514
Genotype102,Env3,2309.114214
Genotype103,Env3,2442.233537
Genotype104,Env3,2873.715918
Genotype105,Env3,3818.420493
Genotype106,Env3,2051.656682
Genotype107,Env3,2677.757399
Genotype108,Env3,2902.457114
Genotype109,Env3,1653.827064
Genotype110,Env3,3104.137025
Genotype111,Env3,2132.87032
Genotype112,Env3,3180.787557
Genotype113,Env3,2238.891149
Genotype114,Env3,2838.146532
Genotype115,Env3,2306.619268
Genotype116,Env3,2603.66252
Genotype117,Env3,3177.370536
Genotype118,Env3,3539.661586
Genotype119,Env3,3737.081493
Genotype120,Env3,1485.791738
Genotype121,Env3,3142.696794
Genotype122,Env3,1842.224797
Genotype123,Env3,2306.670557
Genotype124,Env3,3732.621236
Genotype125,Env3,2909.034114
Genotype126,Env3,3780.52282
Genotype127,Env3,3152.952375
Genotype128,Env3,2605.996264
Genotype129,Env3,3164.473568
Genotype130,Env3,3711.89287
Genotype131,Env3,2740.274914
Genotype132,Env3,1659.892193
Genotype133,Env3,3411.57344
Genotype134,Env3,2461.27522
Genotype135,Env3,2482.099643
Genotype136,Env3,2771.414407
Genotype137,Env3,2716.007447
Genotype138,Env3,2042.473268
Genotype139,Env3,2101.368494
Genotype140,Env3,3158.318547
Genotype141,Env3,2216.937464
Genotype142,Env3,2841.762182
Genotype143,Env3,3632.255168
Genotype144,Env3,3722.167698
Genotype145,Env3,3215.437193
Genotype146,Env3,2495.307907
Genotype147,Env3,2835.071318
Genotype148,Env3,2826.185507
Genotype149,Env3,3181.561943
Genotype150,Env3,2909.837394
Genotype151,Env3,3321.614598
Genotype152,Env3,3288.276657
Genotype153,Env3,3112.161832
Genotype154,Env3,2499.358043
Genotype155,Env3,3532.704397
Genotype156,Env3,2173.836357
Genotype157,Env3,2278.475049
Genotype158,Env3,1797.952868
Genotype159,Env3,3321.597907
Genotype160,Env3,1745.69922
Genotype161,Env3,2874.199337
Genotype162,Env3,3357.407498
Genotype163,Env3,2930.98464
Genotype164,Env3,1972.470682
Genotype165,Env3,3174.279988
Genotype166,Env3,2128.974457
Genotype167,Env3,2151.067087
Genotype168,Env3,2600.133168
Genotype169,Env3,3005.361264
Genotype170,Env3,2554.818794
Genotype171,Env3,3984.474486
Genotype172,Env3,3345.181994
Genotype173,Env3,3383.44277
Genotype174,Env3,2411.430657
Genotype175,Env3,2675.780649
Genotype176,Env3,3348.776593
Genotype177,Env3,1441.564325
Genotype179,Env3,3215.788837
Genotype180,Env3,1320.772298
Genotype181,Env3,2519.103643
Genotype182,Env3,1681.219075
Genotype183,Env3,1504.067638
Genotype185,Env3,2571.307257
Genotype186,Env3,3825.754537
Genotype187,Env3,2319.500314
Genotype188,Env3,2481.80562
Genotype189,Env3,2907.770948
Genotype190,Env3,1603.125394
Genotype191,Env3,3410.24349
Genotype192,Env3,3108.993182
Genotype193,Env3,3734.896968
Genotype194,Env3,3095.791257
Genotype196,Env3,3199.950493
Genotype197,Env3,2767.231494
Genotype198,Env3,2309.586036
Genotype199,Env3,3457.279843
Genotype2,Env5,4727.180958
Genotype3,Env5,3289.380958
Genotype4,Env5,5553.965091
Genotype5,Env5,3959.104926
Genotype6,Env5,5120.89443
Genotype7,Env5,4759.51126
Genotype8,Env5,7075.070077
Genotype9,Env5,4625.09443
Genotype10,Env5,4966.801287
Genotype11,Env5,6669.815091
Genotype12,Env5,4772.401287
Genotype13,Env5,3931.653248
Genotype14,Env5,6458.81126
Genotype15,Env5,3509.703248
Genotype16,Env5,4935.503248
Genotype17,Env5,4502.054926
Genotype18,Env5,7913.529279
Genotype19,Env5,4460.996109
Genotype20,Env5,4450.489444
Genotype21,Env5,4841.315091
Genotype22,Env5,4620.096109
Genotype23,Env5,6015.529279
Genotype24,Env5,4602.939444
Genotype25,Env5,6635.965091
Genotype26,Env5,5030.951287
Genotype27,Env5,3486.839444
Genotype28,Env5,5135.754926
Genotype29,Env5,4437.191122
Genotype30,Env5,7117.265091
Genotype31,Env5,4750.403248
Genotype32,Env5,4816.815091
Genotype33,Env5,4439.453248
Genotype34,Env5,7177.74443
Genotype35,Env5,4332.479279
Genotype36,Env5,5011.339444
Genotype37,Env5,8928.04443
Genotype38,Env5,4056.789444
Genotype39,Env5,6458.179279
Genotype40,Env5,6118.439444
Genotype41,Env5,3970.577601
Genotype42,Env5,2748.604926
Genotype43,Env5,5808.64443
Genotype44,Env5,7789.979279
Genotype45,Env5,5295.465091
Genotype46,Env5,5428.020077
Genotype47,Env5,4755.954926
Genotype48,Env5,3070.641122
Genotype49,Env5,4288.553248
Genotype50,Env5,1688.380958
Genotype51,Env5,8057.854926
Genotype52,Env5,4481.491122
Genotype53,Env5,4831.66126
Genotype54,Env5,4702.715091
Genotype55,Env5,4923.120077
Genotype56,Env5,3657.889444
Genotype57,Env5,4417.96126
Genotype58,Env5,5337.74443
Genotype59,Env5,4405.596109
Genotype60,Env5,3362.729279
Genotype61,Env5,6493.739444
Genotype62,Env5,3365.353248
Genotype63,Env5,4740.203248
Genotype64,Env5,4807.806273
Genotype65,Env5,4950.99443
Genotype66,Env5,4724.654926
Genotype67,Env5,4354.728895
Genotype68,Env5,4101.404926
Genotype69,Env5,6281.028895
Genotype70,Env5,2325.665091
Genotype71,Env5,2742.115091
Genotype72,Env5,3481.565091
Genotype73,Env5,7523.241122
Genotype74,Env5,3785.654926
Genotype75,Env5,4438.130958
Genotype76,Env5,5991.106273
Genotype77,Env5,3405.256273
Genotype78,Env5,4352.206273
Genotype79,Env5,6911.778895
Genotype80,Env5,4435.554926
Genotype81,Env5,5076.91126
Genotype82,Env5,6245.196109
Genotype83,Env5,6644.306273
Genotype84,Env5,3074.246109
Genotype85,Env5,5476.59443
Genotype86,Env5,4920.130958
Genotype87,Env5,4380.270077
Genotype88,Env5,6839.59443
Genotype89,Env5,5107.670077
Genotype90,Env5,6403.54443
Genotype91,Env5,5697.054926
Genotype92,Env5,6288.796109
Genotype93,Env5,4782.006273
Genotype94,Env5,6297.830958
Genotype95,Env5,4923.580958
Genotype96,Env5,6516.220077
Genotype97,Env5,5259.106273
Genotype98,Env5,8082.741122
Genotype99,Env5,2940.401287
Genotype100,Env5,5794.853248
Genotype101,Env5,6366.815091
Genotype102,Env5,9323.670077
Genotype103,Env5,4409.828895
Genotype104,Env5,5099.856273
Genotype105,Env5,4720.596109
Genotype106,Env5,7762.691122
Genotype107,Env5,6923.491122
Genotype108,Env5,5878.379279
Genotype109,Env5,5780.180958
Genotype110,Env5,7206.170077
Genotype111,Env5,6816.01126
Genotype112,Env5,6336.679279
Genotype113,Env5,5399.253248
Genotype114,Env5,4301.796109
Genotype115,Env5,8534.139444
Genotype116,Env5,5299.730958
Genotype117,Env5,6154.253248
Genotype118,Env5,7136.029279
Genotype119,Env5,8476.29443
Genotype120,Env5,4776.865091
Genotype121,Env5,4191.756273
Genotype122,Env5,9194.254926
Genotype123,Env5,7421.604926
Genotype124,Env5,4381.315091
Genotype125,Env5,6875.289444
Genotype126,Env5,6332.378895
Genotype127,Env5,6516.301287
Genotype128,Env5,4719.156273
Genotype129,Env5,4926.654926
Genotype130,Env5,6173.879279
Genotype131,Env5,7780.341122
Genotype132,Env5,5875.154926
Genotype133,Env5,5151.039444
Genotype134,Env5,8522.651287
Genotype135,Env5,8499.241122
Genotype136,Env5,5273.670077
Genotype137,Env5,4736.156273
Genotype138,Env5,5465.156273
Genotype139,Env5,7038.179279
Genotype140,Env5,6329.329279
Genotype141,Env5,7394.829279
Genotype142,Env5,7712.754926
Genotype143,Env5,4761.501287
Genotype144,Env5,6825.928895
Genotype145,Env5,8041.929279
Genotype146,Env5,7190.446109
Genotype147,Env5,8532.553248
Genotype148,Env5,6916.215091
Genotype149,Env5,4380.94443
Genotype150,Env5,5200.079279
Genotype151,Env5,5599.204926
Genotype152,Env5,5891.020077
Genotype153,Env5,5294.079279
Genotype154,Env5,3992.579279
Genotype155,Env5,5555.903248
Genotype156,Env5,8342.470077
Genotype157,Env5,6477.877601
Genotype158,Env5,7622.44443
Genotype159,Env5,6704.089444
Genotype160,Env5,7231.81126
Genotype161,Env5,6967.291122
Genotype162,Env5,6404.99443
Genotype163,Env5,6278.856273
Genotype164,Env5,6528.09443
Genotype165,Env5,8685.827601
Genotype166,Env5,5838.04443
Genotype167,Env5,4564.479279
Genotype168,Env5,9228.377601
Genotype169,Env5,5254.889444
Genotype170,Env5,4340.728895
Genotype171,Env5,5926.196109
Genotype172,Env5,3236.820077
Genotype173,Env5,3347.291122
Genotype174,Env5,3587.81126
Genotype175,Env5,9931.165091
Genotype176,Env5,5244.04443
Genotype177,Env5,5909.804926
Genotype178,Env5,2911.401287
Genotype179,Env5,4071.09443
Genotype180,Env5,5175.115091
Genotype181,Env5,4930.396109
Genotype182,Env5,6195.689444
Genotype183,Env5,5192.627601
Genotype184,Env5,8589.789444
Genotype185,Env5,4381.270077
Genotype186,Env5,5433.74443
Genotype187,Env5,7002.906273
Genotype188,Env5,6205.120077
Genotype189,Env5,4969.529279
Genotype190,Env5,5575.256273
Genotype191,Env5,6720.965091
Genotype192,Env5,5775.629279
Genotype193,Env5,6126.94443
Genotype194,Env5,5708.253248
Genotype195,Env5,7557.146109
Genotype196,Env5,5123.729279
Genotype197,Env5,6807.070077
Genotype198,Env5,4489.701287
Genotype199,Env5,7173.001287
Genotype200,Env5,7624.404926
Genotype2,Env6,4144.783
Genotype3,Env6,5169.56405
Genotype4,Env6,3849.3694
Genotype5,Env6,4226.02965
Genotype6,Env6,5296.05045
Genotype7,Env6,3209.1278
Genotype8,Env6,5579.08695
Genotype9,Env6,3754.22805
Genotype10,Env6,2475.429
Genotype11,Env6,4918.83115
Genotype12,Env6,7724.451
Genotype13,Env6,2877.59615
Genotype14,Env6,7383.75955
Genotype15,Env6,5248.68045
Genotype16,Env6,4510.80285
Genotype17,Env6,4412.8651
Genotype18,Env6,5357.8047
Genotype19,Env6,4377.67625
Genotype20,Env6,6589.84375
Genotype21,Env6,5491.043
Genotype22,Env6,7700.50025
Genotype23,Env6,5064.25395
Genotype24,Env6,4676.3082
Genotype25,Env6,3787.00945
Genotype26,Env6,4174.37795
Genotype27,Env6,4182.52685
Genotype28,Env6,3710.4715
Genotype29,Env6,5347.6053
Genotype30,Env6,4101.39805
Genotype31,Env6,3580.7051
Genotype32,Env6,4969.8329
Genotype33,Env6,5731.25
Genotype34,Env6,5527.0928
Genotype35,Env6,3515.58495
Genotype36,Env6,5119.33325
Genotype37,Env6,5455.763
Genotype38,Env6,5788.8283
Genotype39,Env6,5711.4099
Genotype40,Env6,5566.56985
Genotype41,Env6,6627.77425
Genotype42,Env6,4369.1309
Genotype43,Env6,4956.7049
Genotype44,Env6,5006.83125
Genotype45,Env6,3403.61085
Genotype46,Env6,4514.8845
Genotype47,Env6,6023.13255
Genotype48,Env6,3574.1262
Genotype49,Env6,4970.07515
Genotype50,Env6,4291.83865
Genotype51,Env6,7210.9165
Genotype52,Env6,3838.9208
Genotype53,Env6,6239.26245
Genotype54,Env6,5989.9107
Genotype55,Env6,3170.3125
Genotype56,Env6,3017.0602
Genotype57,Env6,2106.8677
Genotype58,Env6,3332.57935
Genotype59,Env6,5472.7296
Genotype60,Env6,1987.7481
Genotype61,Env6,4386.28205
Genotype62,Env6,2825.37305
Genotype63,Env6,4332.00755
Genotype64,Env6,5331.42305
Genotype65,Env6,5119.44895
Genotype66,Env6,5625.0581
Genotype67,Env6,3152.1318
Genotype68,Env6,3165.8067
Genotype69,Env6,6255.8039
Genotype70,Env6,2727.67735
Genotype71,Env6,3996.67825
Genotype72,Env6,3427.96885
Genotype73,Env6,5870.3125
Genotype74,Env6,4081.7425
Genotype75,Env6,1945.4228
Genotype76,Env6,4800.72915
Genotype77,Env6,3081.4662
Genotype78,Env6,2466.77445
Genotype79,Env6,2942.83595
Genotype80,Env6,3243.60135
Genotype81,Env6,4429.22955
Genotype82,Env6,4799.6179
Genotype83,Env6,4178.801
Genotype84,Env6,3563.76675
Genotype85,Env6,2335.10305
Genotype86,Env6,3292.49455
Genotype87,Env6,4384.332
Genotype88,Env6,4654.44575
Genotype89,Env6,4486.1544
Genotype90,Env6,7391.2962
Genotype91,Env6,2910.5238
Genotype92,Env6,4417.39045
Genotype93,Env6,4150.84425
Genotype94,Env6,3171.1111
Genotype95,Env6,6532.15845
Genotype96,Env6,5717.6995
Genotype97,Env6,4790.72105
Genotype98,Env6,4765.78325
Genotype99,Env6,7217.3765
Genotype100,Env6,7631.9203
Genotype101,Env6,6384.7769
Genotype102,Env6,6373.333
Genotype103,Env6,4215.365
Genotype104,Env6,5207.81435
Genotype105,Env6,5685.6367
Genotype106,Env6,5092.91525
Genotype107,Env6,4828.9073
Genotype108,Env6,6183.02765
Genotype109,Env6,7432.502
Genotype110,Env6,5869.0506
Genotype111,Env6,5549.0046
Genotype112,Env6,5855.3755
Genotype113,Env6,6072.31205
Genotype114,Env6,6656.73685
Genotype115,Env6,4936.0686
Genotype116,Env6,6867.92345
Genotype117,Env6,5202.40455
Genotype118,Env6,5503.205
Genotype119,Env6,7240.699
Genotype120,Env6,5653.3717
Genotype121,Env6,6289.91505
Genotype122,Env6,6784.7949
Genotype123,Env6,6708.20985
Genotype124,Env6,5571.56055
Genotype125,Env6,7105.2215
Genotype126,Env6,6015.8014
Genotype127,Env6,8138.19035
Genotype128,Env6,5277.16905
Genotype129,Env6,5454.33135
Genotype130,Env6,7258.3212
Genotype131,Env6,6657.8125
Genotype132,Env6,6560.1672
Genotype133,Env6,5733.5628
Genotype134,Env6,5050.38065
Genotype135,Env6,5917.39295
Genotype136,Env6,4143.75725
Genotype137,Env6,7520.2213
Genotype138,Env6,7251.5685
Genotype139,Env6,7875.48495
Genotype140,Env6,6467.23825
Genotype141,Env6,5802.08055
Genotype142,Env6,5532.16205
Genotype143,Env6,6928.57145
Genotype144,Env6,4268.0014
Genotype145,Env6,7265.13855
Genotype146,Env6,7866.10775
Genotype147,Env6,5006.0243
Genotype148,Env6,5161.2059
Genotype149,Env6,1532.4746
Genotype150,Env6,4133.17585
Genotype151,Env6,5509.77005
Genotype152,Env6,5500.84135
Genotype153,Env6,4338.0902
Genotype154,Env6,4071.9231
Genotype155,Env6,5313.0941
Genotype156,Env6,4999.77165
Genotype157,Env6,5466.1844
Genotype158,Env6,6423.3358
Genotype159,Env6,4700.01815
Genotype160,Env6,5244.8255
Genotype161,Env6,5306.288
Genotype162,Env6,4464.1963
Genotype163,Env6,2104.0914
Genotype164,Env6,4967.4624
Genotype165,Env6,6928.1698
Genotype166,Env6,3512.6187
Genotype167,Env6,4597.68015
Genotype168,Env6,4258.99165
Genotype169,Env6,4351.50535
Genotype170,Env6,3343.43845
Genotype171,Env6,6491.3386
Genotype172,Env6,1271.94115
Genotype173,Env6,2243.42295
Genotype174,Env6,1983.22875
Genotype175,Env6,5952.9953
Genotype176,Env6,5251.41835
Genotype177,Env6,6700
Genotype178,Env6,5253.9293
Genotype179,Env6,5310.4112
Genotype180,Env6,5937.5
Genotype181,Env6,1252.52495
Genotype182,Env6,5894.6382
Genotype183,Env6,1104.2468
Genotype184,Env6,4259.02195
Genotype185,Env6,3561.7611
Genotype186,Env6,4811.9903
Genotype187,Env6,5453.00335
Genotype188,Env6,5306.1832
Genotype189,Env6,5813.8589
Genotype190,Env6,4471.641
Genotype191,Env6,3654.27585
Genotype192,Env6,5467.7479
Genotype193,Env6,3074.68995
Genotype194,Env6,5536.2731
Genotype195,Env6,7701.69345
Genotype196,Env6,5004.39165
Genotype197,Env6,5900.8109
Genotype198,Env6,4474.58475
Genotype199,Env6,6674.05185
Genotype200,Env6,6544.44955
Genotype2,Env7,1324.104189
Genotype3,Env7,2001.720539
Genotype4,Env7,2711.386638
Genotype5,Env7,1360.633291
Genotype6,Env7,3706.366818
Genotype7,Env7,158.5625489
Genotype8,Env7,1374.419496
Genotype9,Env7,280.5776182
Genotype10,Env7,636.8211825
Genotype11,Env7,1318.779588
Genotype12,Env7,2320.160583
Genotype13,Env7,1930.925015
Genotype14,Env7,1461.523999
Genotype15,Env7,576.502265
Genotype16,Env7,1920.834465
Genotype17,Env7,4423.514141
Genotype18,Env7,1420.596613
Genotype19,Env7,1607.408544
Genotype20,Env7,2489.43496
Genotype21,Env7,1082.498588
Genotype22,Env7,456.2861438
Genotype23,Env7,1273.530863
Genotype24,Env7,5952.181337
Genotype25,Env7,633.7508375
Genotype26,Env7,827.5194325
Genotype27,Env7,3523.62111
Genotype28,Env7,403.1023906
Genotype29,Env7,2207.760986
Genotype30,Env7,282.2744875
Genotype31,Env7,859.587465
Genotype32,Env7,3604.446288
Genotype33,Env7,1025.884665
Genotype34,Env7,895.9289682
Genotype35,Env7,2354.608263
Genotype36,Env7,671.05936
Genotype37,Env7,1354.454418
Genotype38,Env7,1473.14866
Genotype39,Env7,1305.979913
Genotype40,Env7,1415.16361
Genotype41,Env7,1417.972787
Genotype42,Env7,1573.936541
Genotype43,Env7,915.0968182
Genotype44,Env7,3572.905963
Genotype45,Env7,1063.971438
Genotype46,Env7,1718.608796
Genotype47,Env7,694.8654406
Genotype48,Env7,1967.335836
Genotype49,Env7,2450.038915
Genotype50,Env7,750.5874387
Genotype51,Env7,638.5311406
Genotype52,Env7,872.0597356
Genotype53,Env7,1009.598149
Genotype54,Env7,611.4738875
Genotype55,Env7,116.4890457
Genotype56,Env7,841.30901
Genotype57,Env7,2875.773399
Genotype58,Env7,2390.742468
Genotype59,Env7,1353.095894
Genotype60,Env7,1686.657713
Genotype61,Env7,636.67096
Genotype62,Env7,1083.924265
Genotype63,Env7,1481.477115
Genotype64,Env7,3215.378991
Genotype65,Env7,1454.132068
Genotype66,Env7,943.0792406
Genotype67,Env7,1115.946692
Genotype68,Env7,2327.747991
Genotype69,Env7,3654.320692
Genotype70,Env7,2470.992238
Genotype71,Env7,1986.150538
Genotype72,Env7,632.9601375
Genotype73,Env7,884.7777356
Genotype74,Env7,691.7492906
Genotype75,Env7,1239.932989
Genotype76,Env7,782.4211407
Genotype77,Env7,864.1435407
Genotype78,Env7,1185.602491
Genotype79,Env7,2340.310742
Genotype80,Env7,1804.427841
Genotype81,Env7,1089.485499
Genotype82,Env7,2009.719994
Genotype83,Env7,1081.820191
Genotype84,Env7,1933.757094
Genotype85,Env7,846.1560682
Genotype86,Env7,648.4774387
Genotype87,Env7,755.4332457
Genotype88,Env7,486.3177682
Genotype89,Env7,690.8892457
Genotype90,Env7,2488.407118
Genotype91,Env7,2065.206141
Genotype92,Env7,2106.717294
Genotype93,Env7,4267.377641
Genotype94,Env7,743.3538887
Genotype95,Env7,1310.150789
Genotype96,Env7,875.8577957
Genotype97,Env7,1104.550491
Genotype98,Env7,1484.607636
Genotype99,Env7,1350.829183
Genotype100,Env7,623.986065
Genotype101,Env7,1140.783538
Genotype102,Env7,1963.894446
Genotype103,Env7,1828.466742
Genotype104,Env7,1061.254691
Genotype105,Env7,1296.546144
Genotype106,Env7,758.5059356
Genotype107,Env7,1198.989186
Genotype108,Env7,953.1002131
Genotype109,Env7,700.6175438
Genotype110,Env7,2766.770546
Genotype111,Env7,1932.863049
Genotype112,Env7,2173.788113
Genotype113,Env7,716.972965
Genotype114,Env7,1542.096444
Genotype115,Env7,1300.05646
Genotype116,Env7,2754.293089
Genotype117,Env7,532.270965
Genotype118,Env7,866.2179131
Genotype119,Env7,635.7402682
Genotype120,Env7,873.2507875
Genotype121,Env7,2008.129741
Genotype122,Env7,688.4311906
Genotype123,Env7,1995.101491
Genotype124,Env7,2153.901188
Genotype125,Env7,5472.10416
Genotype126,Env7,1581.764342
Genotype127,Env7,993.7706325
Genotype128,Env7,755.7041907
Genotype129,Env7,1045.834891
Genotype130,Env7,4414.764513
Genotype131,Env7,3274.276236
Genotype132,Env7,1280.263641
Genotype133,Env7,765.88126
Genotype134,Env7,940.2641325
Genotype135,Env7,836.1585356
Genotype136,Env7,1213.500196
Genotype137,Env7,1213.162441
Genotype138,Env7,1219.548691
Genotype139,Env7,1259.288363
Genotype140,Env7,711.2124631
Genotype141,Env7,741.8902131
Genotype142,Env7,924.6684906
Genotype143,Env7,763.6470825
Genotype144,Env7,2073.218892
Genotype145,Env7,761.2593131
Genotype146,Env7,3167.841394
Genotype147,Env7,1541.355215
Genotype148,Env7,1772.878338
Genotype149,Env7,1989.170168
Genotype150,Env7,2068.525713
Genotype151,Env7,630.6166406
Genotype152,Env7,1851.499746
Genotype153,Env7,518.4799131
Genotype154,Env7,915.4004131
Genotype155,Env7,488.211165
Genotype156,Env7,1428.124146
Genotype157,Env7,1963.046487
Genotype158,Env7,1717.458768
Genotype159,Env7,3179.33451
Genotype160,Env7,1281.091599
Genotype161,Env7,1333.255086
Genotype162,Env7,468.1971682
Genotype163,Env7,957.0528907
Genotype164,Env7,629.5499682
Genotype165,Env7,1115.326587
Genotype166,Env7,953.6724682
Genotype167,Env7,718.2710131
Genotype168,Env7,3041.096168
Genotype169,Env7,389.80936
Genotype170,Env7,766.6934425
Genotype171,Env7,850.8355938
Genotype172,Env7,444.1763957
Genotype173,Env7,925.6025856
Genotype174,Env7,1919.808899
Genotype175,Env7,810.4419375
Genotype176,Env7,802.1880682
Genotype177,Env7,534.7885406
Genotype179,Env7,470.3112182
Genotype181,Env7,201.5532438
Genotype182,Env7,991.74431
Genotype183,Env7,150.1557875
Genotype185,Env7,587.8642457
Genotype186,Env7,651.4471182
Genotype187,Env7,958.8836907
Genotype188,Env7,2499.192346
Genotype189,Env7,1612.802263
Genotype190,Env7,452.0250907
Genotype191,Env7,840.4022375
Genotype192,Env7,670.3430631
Genotype193,Env7,1251.234168
Genotype194,Env7,593.971515
Genotype195,Env7,3223.224744
Genotype196,Env7,1640.545713
Genotype197,Env7,661.5833457
Genotype198,Env7,928.2274325
Genotype199,Env7,2219.006783
Genotype200,Env7,2040.538691
Genotype2,Env8,4187.406787
Genotype3,Env8,4325.706787
Genotype4,Env8,5642.187785
Genotype5,Env8,7059.86168
Genotype6,Env8,4570.783822
Genotype7,Env8,4842.517287
Genotype8,Env8,4690.79193
Genotype9,Env8,4702.133822
Genotype10,Env8,3915.208996
Genotype11,Env8,4990.287785
Genotype12,Env8,5048.408996
Genotype13,Env8,4293.058465
Genotype14,Env8,5348.017287
Genotype15,Env8,5382.658465
Genotype16,Env8,4373.658465
Genotype17,Env8,5460.31168
Genotype18,Env8,3649.453572
Genotype19,Env8,3961.787037
Genotype20,Env8,4741.729676
Genotype21,Env8,3802.287785
Genotype22,Env8,5490.387037
Genotype23,Env8,3881.053572
Genotype24,Env8,3812.729676
Genotype25,Env8,4721.937785
Genotype26,Env8,3580.358996
Genotype27,Env8,4204.029676
Genotype28,Env8,3854.06168
Genotype29,Env8,4600.332891
Genotype30,Env8,3949.237785
Genotype31,Env8,4752.458465
Genotype32,Env8,4513.137785
Genotype33,Env8,4368.958465
Genotype34,Env8,3420.083822
Genotype35,Env8,4374.553572
Genotype36,Env8,4568.879676
Genotype37,Env8,4608.833822
Genotype38,Env8,4599.779676
Genotype39,Env8,3946.803572
Genotype40,Env8,5146.629676
Genotype41,Env8,3556.600357
Genotype42,Env8,3586.86168
Genotype43,Env8,5175.783822
Genotype44,Env8,3321.403572
Genotype45,Env8,5368.687785
Genotype46,Env8,4757.09193
Genotype47,Env8,4920.81168
Genotype48,Env8,3983.982891
Genotype49,Env8,4864.508465
Genotype50,Env8,3258.006787
Genotype51,Env8,5350.06168
Genotype52,Env8,5208.332891
Genotype53,Env8,5288.167287
Genotype54,Env8,4005.587785
Genotype55,Env8,5138.84193
Genotype56,Env8,4463.429676
Genotype57,Env8,3075.717287
Genotype58,Env8,4080.633822
Genotype59,Env8,3559.437037
Genotype60,Env8,4339.203572
Genotype61,Env8,5756.929676
Genotype62,Env8,5083.908465
Genotype63,Env8,4608.008465
Genotype64,Env8,4902.663141
Genotype65,Env8,4988.583822
Genotype66,Env8,5620.06168
Genotype67,Env8,5871.916574
Genotype68,Env8,4202.66168
Genotype69,Env8,4678.716574
Genotype70,Env8,4139.687785
Genotype71,Env8,3186.587785
Genotype72,Env8,3114.987785
Genotype73,Env8,3209.132891
Genotype74,Env8,2734.91168
Genotype75,Env8,4402.206787
Genotype76,Env8,4109.463141
Genotype77,Env8,4574.263141
Genotype78,Env8,4115.163141
Genotype79,Env8,5136.966574
Genotype80,Env8,3784.46168
Genotype81,Env8,5795.317287
Genotype82,Env8,5259.937037
Genotype83,Env8,6499.813141
Genotype84,Env8,4875.737037
Genotype85,Env8,4688.483822
Genotype86,Env8,4545.956787
Genotype87,Env8,3518.34193
Genotype88,Env8,4830.533822
Genotype89,Env8,3767.04193
Genotype90,Env8,4991.433822
Genotype91,Env8,4943.11168
Genotype92,Env8,6552.187037
Genotype93,Env8,3247.463141
Genotype94,Env8,5728.556787
Genotype95,Env8,6729.956787
Genotype96,Env8,7265.29193
Genotype97,Env8,4498.813141
Genotype98,Env8,4994.082891
Genotype99,Env8,7021.658996
Genotype100,Env8,6014.608465
Genotype101,Env8,5278.637785
Genotype102,Env8,6144.19193
Genotype103,Env8,5359.816574
Genotype104,Env8,5316.563141
Genotype105,Env8,4884.787037
Genotype106,Env8,4804.432891
Genotype107,Env8,6072.932891
Genotype108,Env8,4507.653572
Genotype109,Env8,4860.687037
Genotype110,Env8,5164.64193
Genotype111,Env8,4743.117287
Genotype112,Env8,4053.803572
Genotype113,Env8,5368.108465
Genotype114,Env8,5126.987037
Genotype115,Env8,5585.379676
Genotype116,Env8,5085.106787
Genotype117,Env8,6285.258465
Genotype118,Env8,5450.803572
Genotype119,Env8,6376.583822
Genotype120,Env8,5663.087785
Genotype121,Env8,4902.813141
Genotype122,Env8,5801.81168
Genotype123,Env8,5608.36168
Genotype124,Env8,4082.537785
Genotype125,Env8,4872.929676
Genotype126,Env8,5300.616574
Genotype127,Env8,5907.308996
Genotype128,Env8,5431.213141
Genotype129,Env8,4892.41168
Genotype130,Env8,4745.003572
Genotype131,Env8,6220.632891
Genotype132,Env8,5895.06168
Genotype133,Env8,5407.429676
Genotype134,Env8,4904.158996
Genotype135,Env8,5050.532891
Genotype136,Env8,5167.34193
Genotype137,Env8,5239.763141
Genotype138,Env8,5942.113141
Genotype139,Env8,4858.703572
Genotype140,Env8,4790.453572
Genotype141,Env8,5362.803572
Genotype142,Env8,6109.26168
Genotype143,Env8,4954.658996
Genotype144,Env8,7177.366574
Genotype145,Env8,5092.053572
Genotype146,Env8,6089.837037
Genotype147,Env8,4549.058465
Genotype148,Env8,4879.137785
Genotype149,Env8,2618.283822
Genotype150,Env8,4813.553572
Genotype151,Env8,4818.21168
Genotype152,Env8,4727.44193
Genotype153,Env8,5249.753572
Genotype154,Env8,4457.903572
Genotype155,Env8,5531.058465
Genotype156,Env8,5271.19193
Genotype157,Env8,4736.000357
Genotype158,Env8,4875.283822
Genotype159,Env8,4709.229676
Genotype160,Env8,5584.117287
Genotype161,Env8,6859.582891
Genotype162,Env8,4555.733822
Genotype163,Env8,4917.813141
Genotype164,Env8,5501.283822
Genotype165,Env8,5820.250357
Genotype166,Env8,5048.983822
Genotype167,Env8,5233.803572
